timestamp,yhat,y_p10,y_p50,y_p90
2021-10-31 06:00:00+05:30,-2.5353315775653424,-23.087082520499102,-4.848665094045845,5.109821800338775
2021-10-31 07:00:00+05:30,-2.2856977131394203,-22.837448656073178,-4.599031229619923,5.359455664764697
2021-10-31 08:00:00+05:30,-1.0942792866634727,-21.64603022959723,-3.4076128031439756,6.550874091240645
2021-10-31 09:00:00+05:30,14.847204431149967,-5.704546511783791,12.533870914669464,22.492357809054084
2021-10-31 10:00:00+05:30,8.24132018234032,-12.310430760593437,5.927986665859818,15.886473560244438
2021-10-31 11:00:00+05:30,2.3796221165943927,-18.172128826339364,0.06628860011388982,10.02477549449851
2021-10-31 12:00:00+05:30,-2.262679482767238,-22.814430425700998,-4.576012999247741,5.382473895136879
2021-10-31 13:00:00+05:30,-4.037876419511431,-24.58962736244519,-6.351209935991934,3.6072769583926867
2021-10-31 14:00:00+05:30,-6.171423841041193,-26.72317478397495,-8.484757357521696,1.4737295368629244
2021-10-31 15:00:00+05:30,-8.190766028912265,-28.742516971846022,-10.504099545392767,-0.5456126510081472
2021-10-31 16:00:00+05:30,-9.666027889455513,-30.21777883238927,-11.979361405936016,-2.020874511551396
2021-10-31 17:00:00+05:30,-10.13904010859067,-30.690791051524428,-12.452373625071173,-2.493886730686553
2021-10-31 18:00:00+05:30,-9.72645462186302,-30.278205564796778,-12.039788138343523,-2.0813012439589027
2021-10-31 19:00:00+05:30,-8.528020946059328,-29.079771888993086,-10.841354462539831,-0.882867568155211
2021-10-31 20:00:00+05:30,-6.638798385566332,-27.19054932850009,-8.952131902046835,1.0063549923377852
2021-10-31 21:00:00+05:30,-4.15348760489637,-24.705238547830128,-6.4668211213768725,3.491665773007748
2021-10-31 22:00:00+05:30,-1.234882696677218,-21.786633639610976,-3.548216213157721,6.4102706812268995
2021-10-31 23:00:00+05:30,1.9137633410874932,-18.637987601846266,-0.39957017539300965,9.558916718991611
2021-11-01 00:00:00+05:30,13.092043903862479,-7.459707039071279,10.778710387381976,20.737197281766598
2021-11-01 01:00:00+05:30,14.74691884404254,-5.804832098891218,12.433585327562037,22.392072221946655
2021-11-01 02:00:00+05:30,16.258165409675087,-4.293585533258671,13.944831893194584,23.903318787579202
2021-11-01 03:00:00+05:30,17.523641309134426,-3.028109633799332,15.210307792653923,25.16879468703854
2021-11-01 04:00:00+05:30,19.254020798510915,-1.297730144422843,16.94068728203041,26.89917417641503
2021-11-01 05:00:00+05:30,19.90648567971907,-0.6452652632146894,17.593152163238564,27.551639057623184
